,SPY,IEFA,EEM,IEI,IEF,TLT,LQD,HYG,GLD,DBC
2020-01-10,0.07666181831830908,0.07698872453688269,0.07409669934933277,0.1584146953826968,0.10089704080218986,0.07510492954612494,0.09282264869383576,0.11265781890464421,0.08011129596406019,0.07618343868098548
2020-01-17,0.058376509652814663,0.0590594215637827,0.053271280428990375,0.22158764217531116,0.1067951656317086,0.05527466066337715,0.09033483563265426,0.13051947447418955,0.06517656981765568,0.05740900452193447
2020-01-24,0.06036585464352441,0.04813054431967212,0.04053897350365363,0.18568623880223084,0.08997544116378839,0.04494959982370323,0.10261253039805635,0.16639483811485398,0.10726657603346058,0.07846922205923154
2020-01-31,0.06228223599475214,0.037602507886434496,0.028273652172375558,0.15110159901960055,0.07377261739333137,0.035003233489132195,0.11443991347859937,0.20095439323000538,0.14781283792454225,0.09875700941122664
2020-02-07,0.06226202027305176,0.03759030277172519,0.028264475040651868,0.15118998107537787,0.07381576833036792,0.03502370751293281,0.11450685145200204,0.20088916695764825,0.14789929632452536,0.09855843026171686
2020-02-14,0.0613610617292081,0.037046354722829085,0.027855475779730788,0.15141847640250228,0.07392732703294498,0.035076639284259976,0.11467990710221314,0.204077877022596,0.14812281839824137,0.09643406252547414
2020-02-21,0.06130081481759903,0.0370099810292272,0.027828126083688436,0.15167541005433213,0.07405277023218966,0.03513615889665734,0.11487450110436856,0.20387750464519802,0.14837415982997854,0.09587057330676095
2020-02-28,0.06130081481759904,0.03700998102922721,0.02782812608368844,0.15167541005433344,0.07405277023218894,0.035136158896657006,0.11487450110436753,0.20387750464519805,0.14837415982997929,0.09587057330676096
2020-03-06,0.0477641943002728,0.03236272440206571,0.022286950798891016,0.21910301557096404,0.08878476413094455,0.028277331330389715,0.10664602473992801,0.18994854690197824,0.10958942636566404,0.06955622028967418
2020-03-13,0.058968772071113014,0.03673719286290377,0.027623014292882823,0.15469584540881312,0.07552744305639,0.03583585370225631,0.11716209013636565,0.20009516682043732,0.15132885471348692,0.09202576693535093
2020-03-20,0.05568803999131756,0.036699332674149945,0.028419835476003394,0.1637323105377571,0.07993933339290026,0.03792918362647396,0.11791331634969855,0.17646749978620432,0.1583242319788243,0.09488691618667044
2020-03-27,0.04311408218276803,0.028080764845740368,0.021430819625869853,0.2184151507100661,0.11027707629191058,0.03729419591158166,0.1197606924964449,0.15136313502343332,0.12074642111929246,0.07325358022902384
2020-04-03,0.04311408218276803,0.028080764845740368,0.021430819625869853,0.2184151507100661,0.11027707629191058,0.03729419591158166,0.1197606924964449,0.15136313502343332,0.12074642111929246,0.07325358022902384
2020-04-10,0.02850391608750541,0.021985852832391746,0.017225689044457336,0.2705298826202289,0.11114756734174655,0.02853598907296464,0.09791221066990974,0.10217194223847101,0.09690858798872182,0.05478472645973152
2020-04-17,0.03520462999150021,0.027478441445484423,0.023142247222512922,0.24129046367117796,0.11457304801340504,0.050624859791758445,0.18338604160480704,0.08227013738649641,0.10053939355164473,0.0729146540752904
2020-04-24,0.035534849557633974,0.027841362485221587,0.023954149155281025,0.239225629598775,0.11679757830213375,0.05541748481658677,0.2017576843509434,0.07514587037917589,0.10260715472834425,0.07171823662590435
2020-05-01,0.027402575809778555,0.02291159576825267,0.017460832549246512,0.28109258892694267,0.12411061633432732,0.040152892554358055,0.13897504640593572,0.06842924990997905,0.07821004117838173,0.049614555283520184
2020-05-08,0.019201314166928586,0.017908770191430064,0.010955876059720749,0.3227659241654968,0.13141370883426837,0.02490617467943569,0.07642580789552678,0.06112738187024485,0.054031518908995255,0.027576373425665716
2020-05-15,0.01380409540738635,0.014607865230450077,0.006703247364229844,0.35,0.13630500229145107,0.01485426992958755,0.03537969640352971,0.05611374065028127,0.038051825194925754,0.012994748772058856
2020-05-22,0.021927899490624916,0.019396500644249595,0.013342852993877843,0.3100907814194062,0.13071869026953606,0.0322295388502211,0.1061544924991979,0.058060727802905145,0.06598238499510337,0.029919561073760793
2020-05-29,0.013666610962961505,0.014356346796987305,0.006678148234821756,0.34958685569842085,0.1365368489947609,0.014982164295813977,0.03586359826861503,0.05534719014207764,0.038371314670689556,0.013062817982213343
2020-06-05,0.021821867730292623,0.019220327392981393,0.013316740551178662,0.309976429023991,0.13098849406322172,0.0324650388492698,0.10705911265677166,0.05738169701877992,0.06644720909699317,0.029457416451943823
2020-06-12,0.013531633413471888,0.014088920435286189,0.006596416979548349,0.3492864870414316,0.13591776335612576,0.014995235995881543,0.03629422005724027,0.054505131444733415,0.03840683296765611,0.012990345764737975
2020-06-19,0.009119266473651567,0.016403041800305135,0.01227823988323175,0.35,0.19686572223539683,0.037309504018836835,0.08915911576157946,0.037257756159488106,0.030671485847167137,0.02423399314928479
2020-06-26,0.009059990853230913,0.016380462972447683,0.012245834683950123,0.35,0.19686753685869787,0.037174526140556906,0.0886644378370898,0.03702879004874329,0.0307488931546429,0.024301333499006976
2020-07-03,0.01271975742371695,0.014112292142254028,0.006322367596744327,0.35,0.1360674434047908,0.014521280250399685,0.034342378717338966,0.05218590274789146,0.03895589627648186,0.01225580141901049
2020-07-10,0.012745942105734775,0.014192148528522332,0.006330651932950255,0.35,0.13627232344320842,0.014560806797151896,0.03417250489640936,0.052615991162247966,0.03881820347058469,0.012219274661321385
2020-07-17,0.01271150471299911,0.014194556808003453,0.006292450937091716,0.35,0.13624452020801123,0.014534123492229779,0.03418056198108447,0.05270897287827236,0.03892797803116315,0.01243064004084912
