,RandomSwitch_net
2022-02-18,-3.3950915055240346e-05
2022-02-25,-0.0009236232384714956
2022-03-04,0.005753562073157026
2022-03-11,-0.017853168523706556
2022-03-18,0.0025035241858676425
2022-03-25,-0.013275613781155868
2022-04-01,0.005188449471025382
2022-04-08,-0.015174711528331261
2022-04-15,-0.005398677533838854
2022-04-22,-0.015058405542022894
2022-04-29,-0.007666149647516438
2022-05-06,-0.009590545047061536
2022-05-13,0.001467807039108655
2022-05-20,0.00430130316248936
2022-05-27,0.008224884893355126
2022-06-03,-0.009814846453119903
2022-06-10,-0.01932246347918568
2022-06-17,-0.009897704537099993
2022-06-24,0.009014074848253015
2022-07-01,0.0064102343165105685
2022-07-08,-0.008635332212933448
2022-07-15,0.0029822787334235937
2022-07-22,0.013610446959732857
2022-07-29,0.010583277150702737
2022-08-05,-0.006691504294953284
2022-08-12,0.005544380383229453
2022-08-19,-0.014205590517993083
2022-08-26,-0.005065132887328009
2022-09-02,-0.01476706041478086
2022-09-09,-0.001780374527439121
2022-09-16,-0.012545593054507585
2022-09-23,-0.020312407291924874
2022-09-30,-0.011733460709109855
2022-10-07,0.0009902742046906563
2022-10-14,-0.012928907501546672
2022-10-21,-0.004465496784300209
2022-10-28,0.015227455480942216
2022-11-04,-0.004990988314025295
2022-11-11,0.02286955615318249
2022-11-18,-0.001241308055869846
2022-11-25,0.007719530906360788
2022-12-02,0.01744075259599979
2022-12-09,-0.007187856040779775
2022-12-16,0.003920075378342808
2022-12-23,-0.012656183911602422
2022-12-30,-0.006675945289493769
2023-01-06,0.01825652654077717
2023-01-13,0.014007072815278975
2023-01-20,0.0015776066040148124
2023-01-27,-0.0006953642834895206
2023-02-03,-0.0031528226658198545
2023-02-10,-0.012305666914521967
2023-02-17,-0.005564135595597465
2023-02-24,-0.011332970096109847
2023-03-03,0.006771631495112235
2023-03-10,0.0062726107419130645
2023-03-17,0.01193219816349679
2023-03-24,0.007172494427775405
2023-03-31,0.0003400642052182704
2023-04-07,0.011468205905927611
2023-04-14,-0.008711454592552435
2023-04-21,-0.003585964640284673
2023-04-28,0.007702165120176495
2023-05-05,7.516325759733414e-05
2023-05-12,-0.0033340794671435753
2023-05-19,-0.008140453334053447
2023-05-26,-0.005407590449052246
2023-06-02,0.0066085572751759785
2023-06-09,-0.0015268246208338773
2023-06-16,0.004481831793896794
2023-06-23,-0.005209837166365078
2023-06-30,0.0014569986504378608
2023-07-07,-0.010298167729700445
2023-07-14,0.01741917942432123
2023-07-21,0.0019834652745847493
2023-07-28,-0.0015055689452845768
2023-08-04,-0.008249671528263273
2023-08-11,-0.006780682678855728
2023-08-18,-0.008549278780350224
2023-08-25,0.004414921869406406
2023-09-01,0.008146381376962485
2023-09-08,-0.0055684331055354305
2023-09-15,0.0007267740787282397
2023-09-22,-0.008282458417259799
2023-09-29,-0.010534947895643637
2023-10-06,-0.012544870979000271
2023-10-13,0.013329982152346544
2023-10-20,-0.011255886769784056
2023-10-27,0.0036429190438826155
2023-11-03,0.020957969248160607
2023-11-10,-0.004111634327673382
2023-11-17,0.012530629667756083
2023-11-24,0.0015534728937641944
2023-12-01,0.01772383982885103
2023-12-08,-0.004424526496379688
2023-12-15,0.021974907805727785
2023-12-22,0.003550460504644076
2023-12-29,0.0025484286935120023
2024-01-05,-0.011197551716926362
2024-01-12,0.00858513286902687
2024-01-19,-0.010748989294756888
2024-01-26,0.002563687605259284
2024-02-02,0.0030797460274829503
2024-02-09,-0.004820844219654994
2024-02-16,-0.0053547967966416045
2024-02-23,0.004271389597478358
2024-03-01,0.0055944307266484455
2024-03-08,0.007292692284383288
2024-03-15,-0.010104325131540009
2024-03-22,0.006781688361772283
2024-03-29,0.002421226894447164
2024-04-05,-0.0068240952958904255
2024-04-12,-0.007705035023531045
2024-04-19,-0.006984617930614939
2024-04-26,0.0032935611634732262
2024-05-03,0.010729797271420127
2024-05-10,0.0029563597740922013
2024-05-17,0.008617690052253943
2024-05-24,-0.0057091880711905765
2024-05-31,-0.0015981794943580093
2024-06-07,0.0017974380142728897
2024-06-14,0.010144100682130354
2024-06-21,-0.0007199572578204604
2024-06-28,-0.0039530673788555236
2024-07-05,0.011344200978125558
2024-07-12,0.007551545558001756
2024-07-19,-0.008551591326520438
2024-07-26,0.0007878717997468078
2024-08-02,0.017843262102356997
2024-08-09,-0.004154967730300103
2024-08-16,0.00992719527430498
2024-08-23,0.007376924772816081
2024-08-30,-0.005528780761347955
2024-09-06,0.003403658824271597
2024-09-13,0.009498186354318771
2024-09-20,0.001392136218327776
2024-09-27,0.005323590457482742
2024-10-04,-0.009133605507585754
2024-10-11,-0.0030933040617700637
2024-10-18,0.0005849630511593715
2024-10-25,-0.009553934446977387
2024-11-01,-0.0066647996476631105
2024-11-08,0.008347240446640251
2024-11-15,-0.012798063921685818
2024-11-22,0.005912217123426039
2024-11-29,0.01374428593167715
2024-12-06,0.003428406016000772
2024-12-13,-0.013274610609445752
2024-12-20,-0.009136309505551188
2024-12-27,-0.0024786513091762715
2025-01-03,0.0028564555918389116
2025-01-10,-0.007971401425704601
2025-01-17,0.011909008213017328
2025-01-24,0.003695505878118748
2025-01-31,0.0028155704471171336
2025-02-07,0.0034414692845627717
2025-02-14,0.004571375632064755
2025-02-21,0.002960672072814318
2025-02-28,0.008045324002276883
2025-03-07,-0.0030923055424150092
2025-03-14,-0.0015427889206533717
2025-03-21,0.004865173748576346
2025-03-28,0.0003697437380748155
2025-04-04,0.0023502594753768554
2025-04-11,-0.014355408125936329
2025-04-18,0.011420282395775892
2025-04-25,0.007739739410794519
2025-05-02,-0.0006450649034148906
2025-05-09,0.0019147058954468504
2025-05-16,-0.0019315583732733327
2025-05-23,-0.0021228816937281987
2025-05-30,0.0063621105462947115
2025-06-06,-0.001481715998159613
2025-06-13,0.007521722976127065
2025-06-20,0.0021310378396358545
2025-06-27,0.006057764045488827
2025-07-04,0.0008532864072208397
2025-07-11,-0.003811257575565931
2025-07-18,0.0012595875662165014
2025-07-25,0.003161978868729204
2025-08-01,0.0030870824008937116
2025-08-08,0.0007202344496886846
2025-08-15,0.0004932022936458586
2025-08-22,0.005290981071516379
2025-08-29,0.0012954665722061617
