,EqualWeight_net
2020-01-10,0.0009184605534625241
2020-01-17,0.0036713954227885134
2020-01-24,-0.004187800129977537
2020-01-31,-0.007166904371721497
2020-02-07,0.005696194392739461
2020-02-14,0.00608683690197483
2020-02-21,0.004103944565606658
2020-02-28,-0.029764181186929892
2020-03-06,0.014981246088153545
2020-03-13,-0.07376541809369143
2020-03-20,-0.06787447679648456
2020-03-27,0.07162651744731456
2020-04-03,-0.008743202211644815
2020-04-10,0.04869797645923007
2020-04-17,0.004436249757013867
2020-04-24,-0.009050866361190903
2020-05-01,-0.0032317795319319756
2020-05-08,0.012450639424742928
2020-05-15,-0.0030094336617535037
2020-05-22,0.013821359400321961
2020-05-29,0.013786452047639364
2020-06-05,0.017507416773130988
2020-06-12,-0.007028703219073156
2020-06-19,0.008652942765593847
2020-06-26,-0.004086374120177264
2020-07-03,0.014479512581752816
2020-07-10,0.012184497174784916
2020-07-17,0.0051083762417202284
2020-07-24,0.010723312075704143
2020-07-31,0.006457129882658615
2020-08-07,0.010593800585581433
2020-08-14,-0.008919418707014442
2020-08-21,0.004529136286314734
2020-08-28,0.006427750888914836
2020-09-04,-0.009372014929182895
2020-09-11,-0.0022735712654606824
2020-09-18,0.004844040991902824
2020-09-25,-0.015856454554600073
2020-10-02,0.006084715077853506
2020-10-09,0.015060147766877901
2020-10-16,-0.0027877614008608703
2020-10-23,-0.001573828805842684
2020-10-30,-0.021653113530907115
2020-11-06,0.033813586301079356
2020-11-13,0.004402493000331663
2020-11-20,0.007503763307869572
2020-11-27,0.004756150518930188
2020-12-04,0.0034101188122249945
2020-12-11,0.00285783695145908
2020-12-18,0.00833680751752058
2020-12-25,-0.0008931622437901184
2021-01-01,0.007570934226581942
2021-01-08,0.004661969322755252
2021-01-15,-0.004073669728831415
2021-01-22,0.005850408976267041
2021-01-29,-0.011287445641897636
2021-02-05,0.013243317041062824
2021-02-12,0.008542798546165065
2021-02-19,-0.007261540722181232
2021-02-26,-0.01610094687505171
2021-03-05,-0.0013153466388902079
2021-03-12,0.0031797448324521875
2021-03-19,-0.004892301718015558
2021-03-26,0.0030445670119342077
2021-04-02,0.004928491026329705
2021-04-09,0.0042160191939428805
2021-04-16,0.012145540520616057
2021-04-23,0.0025841320797858535
2021-04-30,-0.002936606392438338
2021-05-07,0.015069819349321693
2021-05-14,-0.009029225740697876
2021-05-21,0.0015898424926488923
2021-05-28,0.010088789194143077
2021-06-04,0.007874873658473846
2021-06-11,0.004053249128162693
2021-06-18,-0.013527644789061544
2021-06-25,0.0064204714272359294
2021-07-02,0.007211097332635077
2021-07-09,-0.00013143018514595898
2021-07-16,-0.0014434579724566508
2021-07-23,0.0029031819394444926
2021-07-30,0.0020516718557188895
2021-08-06,-0.005623440890283458
2021-08-13,0.0040213759345170295
2021-08-20,-0.01116677669071349
2021-08-27,0.01588190202905198
2021-09-03,0.005849904216200911
2021-09-10,-0.005891640816424116
2021-09-17,-0.004246975521066226
2021-09-24,-0.0020381690032206176
2021-10-01,-0.003868833769631153
2021-10-08,-0.002051156169644153
2021-10-15,0.01347199034977229
2021-10-22,0.0008853889021466914
2021-10-29,0.0014327125639058442
2021-11-05,0.009287902038123977
2021-11-12,-0.0003725589841990512
2021-11-19,-0.005390241549123159
2021-11-26,-0.016391872635047284
2021-12-03,0.00231509891435178
2021-12-10,0.007290234304540478
2021-12-17,-0.003583834981094958
2021-12-24,0.007686583841652066
2021-12-31,0.002569173984257951
2022-01-07,-0.011317732091077736
2022-01-14,0.00524319602053014
