,Expert:HERC_CDaR5_L60_net
2020-01-10,1.6227736830917948e-05
2020-01-17,0.0026877568987461967
2020-01-24,-0.006765317298181617
2020-01-31,-0.004235164700891006
2020-02-07,0.002141940346721882
2020-02-14,0.004184744800900785
2020-02-21,0.012843047391840856
2020-02-28,-0.010783469429775528
2020-03-06,0.024374888280417832
2020-03-13,-0.05148665347556049
2020-03-20,-0.032314077990565876
2020-03-27,0.05477693294011349
2020-04-03,-0.0057770725648745615
2020-04-10,0.02502099416465826
2020-04-17,0.003006077671072855
2020-04-24,0.0012097217817281544
2020-05-01,-0.0020454289753720736
2020-05-08,-0.0008314089468530279
2020-05-15,0.0024291875044178237
2020-05-22,-0.00011465877333931065
2020-05-29,0.0005201502946481226
2020-06-05,-0.008658845211912456
2020-06-12,0.008077725690983214
2020-06-19,0.0010363036214677205
2020-06-26,0.0016718962580027992
2020-07-03,0.001429047200102864
2020-07-10,0.004194929105946659
2020-07-17,0.0028465163258672337
2020-07-24,0.00813908387987235
2020-07-31,0.007157127221510038
2020-08-07,0.006838954230009602
2020-08-14,-0.016520715741438412
2020-08-21,0.004497609917032939
2020-08-28,-3.073739698073397e-05
2020-09-04,-0.004725401517990276
2020-09-11,0.00033543068047110487
2020-09-18,0.0015313134315298128
2020-09-25,-0.005735954022960392
2020-10-02,0.002330918915261263
2020-10-09,0.006786410198364486
2020-10-16,-0.0007001822525976705
2020-10-23,-0.0024060718068402193
2020-10-30,-0.007642198361894991
2020-11-06,0.007245752356191942
2020-11-13,-0.001901328446268474
2020-11-20,0.005154164424018316
2020-11-27,-0.0014520498389812824
2020-12-04,-0.004106779590806387
2020-12-11,0.004287402150250699
2020-12-18,-0.00037547368057860126
2020-12-25,0.0019206085315534903
2021-01-01,0.0018582025641715751
2021-01-08,-0.010765604077931645
2021-01-15,0.00047963366096668214
2021-01-22,0.001160475303317029
2021-01-29,-0.004175758241066674
2021-02-05,0.011844395820905122
2021-02-12,0.005320392464154238
2021-02-19,-0.005412615558274547
2021-02-26,-0.005873345041048407
2021-03-05,-0.005640948060532787
2021-03-12,-0.00265832884855161
2021-03-19,-0.003742051616063963
2021-03-26,0.0044747915550398636
2021-04-02,0.002121276469172896
2021-04-09,0.002433932487421874
2021-04-16,0.004919224714272467
2021-04-23,0.001967104047417918
2021-04-30,-0.002627381785100489
2021-05-07,0.006334234432168295
2021-05-14,-0.004667191637737746
2021-05-21,0.000781959920286949
2021-05-28,0.004000089342584805
2021-06-04,0.0037104783733357197
2021-06-11,0.005548871960478052
2021-06-18,-0.0018051305528417605
2021-06-25,-0.00456049250692272
2021-07-02,0.0072421749552095665
2021-07-09,0.004054104978321203
2021-07-16,0.002343517886607359
2021-07-23,0.0031868588603858506
2021-07-30,0.0026030214969484746
2021-08-06,-0.005138189299630492
2021-08-13,0.001843101395767322
2021-08-20,-0.00015047879177608936
2021-08-27,-5.5297211245786505e-05
2021-09-03,-0.0003685035923130961
2021-09-10,-0.0012628482087513268
2021-09-17,-0.0020077777565713495
2021-09-24,-0.00462435851156607
2021-10-01,-0.0020701548706796797
2021-10-08,-0.006333904916221678
2021-10-15,0.007892025778804638
2021-10-22,0.00046396763027819815
2021-10-29,-0.00023006878991938895
2021-11-05,0.008220688357371586
2021-11-12,0.0014338278865648779
2021-11-19,-0.007787043125981126
2021-11-26,-0.01871766767899978
2021-12-03,-0.0005225945072415208
2021-12-10,0.0048121327258590346
2021-12-17,-5.531728791841056e-07
2021-12-24,0.005100455106451005
2021-12-31,0.002286008022174017
2022-01-07,-0.013594689138100212
2022-01-14,0.00404552424948379
2022-01-21,-0.006857712268605396
2022-01-28,-0.009287860281486267
2022-02-04,0.0028959166234106284
2022-02-11,0.005770350548620696
2022-02-18,0.004490490150337161
2022-02-25,-0.0013767857775123303
2022-03-04,0.02300044292101603
2022-03-11,-0.018846593714023595
2022-03-18,0.011199987564277552
2022-03-25,-0.0034124958412437333
2022-04-01,0.0051807836539113205
2022-04-08,-0.013559071540109009
2022-04-15,0.000411247279121339
2022-04-22,-0.01693995814133768
2022-04-29,-0.009929256348488909
2022-05-06,-0.007751632469676159
2022-05-13,-0.009736908174586103
2022-05-20,0.003510936196409171
2022-05-27,0.02906717407975111
2022-06-03,-0.004069711804129226
2022-06-10,-0.021485617567528877
2022-06-17,-0.024310244304205482
2022-06-24,0.010572908149765201
2022-07-01,0.0038869339484371435
2022-07-08,-0.01135045755421052
2022-07-15,0.006542182966124918
2022-07-22,0.013451297216821935
2022-07-29,0.0076423511360331825
2022-08-05,-0.00991819321619543
2022-08-12,0.003956141809880082
2022-08-19,-0.013887661816655133
2022-08-26,-0.004035469547583089
2022-09-02,-0.014062719123800964
2022-09-09,-0.003532369862909598
2022-09-16,-0.011942029609152045
2022-09-23,-0.019587451280922232
2022-09-30,-0.012427849628277457
2022-10-07,0.00874142620435484
2022-10-14,-0.015379080801483133
2022-10-21,-0.010520769976181869
2022-10-28,0.01612554489693663
2022-11-04,-0.0034577898844889853
2022-11-11,0.020889101227254073
2022-11-18,-0.0019144679088907385
2022-11-25,0.00767754847654139
