,turnover
2024-04-12,0.20000000000000007
2024-04-19,0.19999999999999998
2024-04-26,0.0
2024-05-03,0.0
2024-05-10,0.0
2024-05-17,0.18242208855322017
2024-05-24,1.7208456881689926e-15
2024-05-31,2.230854390106174e-15
2024-06-07,0.19999999999999996
2024-06-14,0.0
2024-06-21,0.0
2024-06-28,0.07413348138379544
2024-07-05,0.0036641013815778417
2024-07-12,0.2
2024-07-19,0.06965598124020604
2024-07-26,7.494005416219807e-16
2024-08-02,8.708311849403572e-16
2024-08-09,5.030698080332741e-16
2024-08-16,0.2
2024-08-23,0.2
2024-08-30,0.009789619830793714
2024-09-06,0.00014466369093542666
2024-09-13,0.00032627844381950474
2024-09-20,0.004781811290268716
2024-09-27,0.00016338227293046306
2024-10-04,0.0006734684924535779
2024-10-11,0.002734366026568579
2024-10-18,0.002763319374571447
2024-10-25,0.0008578587281531415
2024-11-01,0.002790878688208459
2024-11-08,0.0
2024-11-15,0.0
2024-11-22,0.004163216588081473
2024-11-29,0.0
2024-12-06,0.20000000000000004
2024-12-13,0.19999999999999996
2024-12-20,0.19999999999999996
2024-12-27,0.2
2025-01-03,0.19999999999999996
2025-01-10,0.19999999999999998
2025-01-17,0.0375033541516789
2025-01-24,0.016652946094436172
2025-01-31,0.19999999999999998
2025-02-07,0.2
2025-02-14,0.19999999999999998
2025-02-21,0.11731753080735068
2025-02-28,0.005679724191559463
2025-03-07,0.025700538052646705
2025-03-14,0.012398808875589834
2025-03-21,0.20000000000000004
2025-03-28,0.2
2025-04-04,0.20000000000000007
2025-04-11,0.0
2025-04-18,0.0
2025-04-25,0.0
2025-05-02,0.0
2025-05-09,0.20000000000000004
2025-05-16,0.19147736454485967
2025-05-23,0.0023696174938477935
2025-05-30,0.004424315933049237
2025-06-06,0.0
2025-06-13,0.003271587491853264
2025-06-20,0.0
2025-06-27,6.036837696399289e-16
2025-07-04,1.6583956430338276e-15
2025-07-11,0.2
2025-07-18,0.1592547317898921
2025-07-25,0.0
2025-08-01,0.0
2025-08-08,0.0
2025-08-15,0.0
2025-08-22,0.013821014500163303
2025-08-29,0.0011073504070478746
