,turnover
2020-01-10,0.19999999999999998
2020-01-17,0.2
2020-01-24,0.2
2020-01-31,0.192664556442173
2020-02-07,0.0006108067800005661
2020-02-14,0.00795654717980707
2020-02-21,0.001775663794728946
2020-02-28,4.1945613649119196e-15
2020-03-06,0.20000000000000004
2020-03-13,0.1910097836426385
2020-03-20,0.05389251860556454
2020-03-27,0.20000000000000007
2020-04-03,0.0
2020-04-10,0.2
2020-04-17,0.2
2020-04-24,0.03934712030414149
2020-05-01,0.2
2020-05-08,0.19999999999999998
2020-05-15,0.13174909753718414
2020-05-22,0.2
2020-05-29,0.2
2020-06-05,0.2
2020-06-12,0.19999999999999998
2020-06-19,0.18547531656393768
2020-06-26,0.0011194438415731232
2020-07-03,0.18503645085268425
2020-07-10,0.0011329137885342675
2020-07-17,0.0005517119490003218
2020-07-24,0.2000000000000001
2020-07-31,0.19999999999999998
2020-08-07,0.13443687057386589
2020-08-14,0.023754043050124286
2020-08-21,0.007840328214332521
2020-08-28,0.11743216343993562
2020-09-04,2.400857290751901e-15
2020-09-11,0.0
2020-09-18,0.2
2020-09-25,0.19999999999999998
2020-10-02,0.2
2020-10-09,0.19999999999999998
2020-10-16,0.19999999999999996
2020-10-23,0.20000000000000004
2020-10-30,0.1746348088485496
2020-11-06,3.139849491518021e-15
2020-11-13,0.0
2020-11-20,0.19999999999999996
2020-11-27,0.20000000000000004
2020-12-04,0.2
2020-12-11,0.11248510919963778
2020-12-18,0.0011393934875414818
2020-12-25,0.000671103000529142
2021-01-01,0.0011325205236890259
2021-01-08,0.0012681070679184548
2021-01-15,0.005898916847389281
2021-01-22,0.0
2021-01-29,0.0
2021-02-05,0.0
2021-02-12,0.016685971721756083
2021-02-19,0.020752587290677842
2021-02-26,0.001038294734956328
2021-03-05,0.0
2021-03-12,0.0
2021-03-19,0.2
2021-03-26,0.0
2021-04-02,0.05025246635123024
2021-04-09,0.0
2021-04-16,0.0
2021-04-23,0.2
2021-04-30,0.20000000000000007
2021-05-07,0.2
2021-05-14,0.2
2021-05-21,0.1594760499843188
2021-05-28,0.02464691805791732
2021-06-04,0.0
2021-06-11,0.02853659463235486
2021-06-18,0.0011903784127195761
2021-06-25,0.0013288881568612205
2021-07-02,0.0
2021-07-09,0.0
2021-07-16,0.0032272239713885924
2021-07-23,0.0
2021-07-30,0.001978147619650098
2021-08-06,0.0005374110420834416
2021-08-13,0.004702569825633938
2021-08-20,0.0
2021-08-27,0.0
2021-09-03,0.20000000000000004
2021-09-10,0.20000000000000004
2021-09-17,0.2
2021-09-24,0.2
2021-10-01,0.2
2021-10-08,0.0
2021-10-15,0.0
2021-10-22,0.0
2021-10-29,0.19999999999999998
2021-11-05,0.07576169893105289
2021-11-12,0.011849933846544473
2021-11-19,0.2
2021-11-26,0.19999999999999998
2021-12-03,0.025521528167239668
2021-12-10,0.0
2021-12-17,0.0
2021-12-24,0.010906787443834803
2021-12-31,0.2
2022-01-07,0.1963113424648658
2022-01-14,0.014069385470100466
2022-01-21,0.018241399332584993
2022-01-28,0.017970734305450087
2022-02-04,0.0
2022-02-11,0.03935945092474967
2022-02-18,0.026970571179081537
2022-02-25,0.026379973323842464
2022-03-04,0.2
2022-03-11,0.15906706995327793
2022-03-18,0.19999999999999998
2022-03-25,0.0
2022-04-01,0.0
2022-04-08,0.0
2022-04-15,0.0
2022-04-22,0.2
2022-04-29,0.05777099694573093
2022-05-06,0.0012206145357393184
2022-05-13,0.0012006133109143547
2022-05-20,0.001077057196788432
2022-05-27,0.2
2022-06-03,0.06115453952938212
2022-06-10,0.03630887734733649
2022-06-17,0.0
2022-06-24,0.06097749903311206
2022-07-01,0.028964038373542698
2022-07-08,0.08573706037201861
2022-07-15,0.03785204722514218
2022-07-22,0.19999999999999998
2022-07-29,0.07215750357071497
2022-08-05,0.19999999999999996
2022-08-12,0.2
2022-08-19,0.018395630200302392
2022-08-26,1.7659484985443896e-15
2022-09-02,0.20000000000000004
2022-09-09,0.1763349202989961
2022-09-16,0.15398271701861743
2022-09-23,0.0
2022-09-30,0.15794817860829863
2022-10-07,0.00968556766502549
2022-10-14,0.0015531991724697727
2022-10-21,0.19999999999999996
2022-10-28,0.0767996181894456
2022-11-04,0.01503083198558596
2022-11-11,0.07918467073605037
2022-11-18,0.02285527914483001
2022-11-25,0.01202580931359923
2022-12-02,0.19999999999999996
2022-12-09,0.0606569455053211
2022-12-16,0.19999999999999996
2022-12-23,0.19999999999999998
2022-12-30,0.013725635208920655
2023-01-06,0.0
2023-01-13,0.0
2023-01-20,0.028518541222336418
2023-01-27,0.02103982432217454
2023-02-03,0.009661800840611176
2023-02-10,0.20000000000000004
2023-02-17,0.17924294135367336
2023-02-24,0.0
2023-03-03,0.0
2023-03-10,0.2
2023-03-17,0.20000000000000004
2023-03-24,0.19999999999999998
2023-03-31,0.2
2023-04-07,0.17836040119987684
2023-04-14,0.00155168021734221
2023-04-21,0.002148905336710463
2023-04-28,0.001946942224264411
2023-05-05,0.0
2023-05-12,0.012127532579728645
2023-05-19,0.2
2023-05-26,0.19999999999999998
2023-06-02,0.0
2023-06-09,0.20000000000000004
2023-06-16,0.2
2023-06-23,0.0
2023-06-30,0.2
2023-07-07,0.17322181131321343
2023-07-14,0.0001515250189734127
2023-07-21,2.435551760271437e-15
2023-07-28,0.2
2023-08-04,0.2
2023-08-11,0.2
2023-08-18,0.2
2023-08-25,0.0
2023-09-01,0.19999999999999998
2023-09-08,0.08774265164927683
2023-09-15,0.2
2023-09-22,0.0
2023-09-29,0.12622673475103058
