strategy,ann_return,sharpe,cvar_5,max_drawdown,avg_turnover,n_steps
PPO_Meta,0.01451084320738083,0.23582098813581642,-0.022820565437644203,,0.08617416622818372,295
BestExpert(HERC_CDaR5_L60),0.015383741905896864,0.250942492143694,-0.021769384949587252,-0.15138582928269206,0.12131498470830072,295
EqualWeight,0.052064806713889356,0.5906871466481786,-0.029878692817499563,-0.17018810683051178,0.0,295
60/40,0.03394348996448637,0.4195125899304144,-0.026187519809233676,-0.20403490921951273,0.004305084745762712,295
RandomSwitch,0.004351815528833791,0.0989885842242191,-0.02053633130374755,-0.17648638055514998,0.16671344921391532,295
